,Name,Sync,F1X1,F1X3,F1Y1,F1Y2,F1Z1,F1Z2,F1Z3,F1Z4,F2X1,F2X3,F2Y1,F2Y2,F2Z1,F2Z2,F2Z3,F2Z4
1158,1.93,10436.0,200.0,353.0,270.0,137.0,365.0,222.0,1391.0,1731.0,-30.0,5.0,-20.0,-1.0,-17.0,-1.0,-9.0,-8.0
1159,1.931667,10429.0,202.0,357.0,270.0,135.0,370.0,223.0,1389.0,1726.0,-27.0,0.0,-15.0,3.0,-20.0,-3.0,-8.0,-9.0
1160,1.933333,10458.0,172.0,328.0,234.0,103.0,332.0,189.0,1355.0,1689.0,-73.0,-41.0,-59.0,-43.0,-58.0,-48.0,-57.0,-53.0
1161,1.935,10452.0,190.0,347.0,252.0,117.0,351.0,207.0,1373.0,1703.0,-48.0,-14.0,-31.0,-14.0,-29.0,-17.0,-21.0,-30.0
1162,1.936667,10439.0,204.0,366.0,268.0,130.0,361.0,219.0,1385.0,1709.0,-31.0,1.0,-23.0,-1.0,-16.0,-2.0,-14.0,-6.0
1163,1.938333,10428.0,210.0,376.0,272.0,127.0,366.0,221.0,1380.0,1706.0,-28.0,0.0,-16.0,-3.0,-16.0,-2.0,-8.0,-10.0
1164,1.94,10430.0,210.0,382.0,273.0,130.0,363.0,222.0,1379.0,1699.0,-29.0,1.0,-17.0,0.0,-13.0,-6.0,-10.0,-7.0
1165,1.941667,10416.0,182.0,356.0,240.0,93.0,328.0,187.0,1344.0,1663.0,-75.0,-40.0,-60.0,-45.0,-59.0,-44.0,-56.0,-54.0
1166,1.943333,10441.0,201.0,377.0,258.0,105.0,345.0,206.0,1362.0,1671.0,-44.0,-14.0,-35.0,-14.0,-32.0,-17.0,-21.0,-18.0
1167,1.945,10428.0,217.0,401.0,273.0,120.0,358.0,218.0,1371.0,1680.0,-31.0,0.0,-15.0,-6.0,-18.0,-3.0,-10.0,-7.0
1168,1.946667,10427.0,220.0,408.0,276.0,119.0,356.0,220.0,1362.0,1672.0,-29.0,3.0,-16.0,1.0,-17.0,-4.0,-10.0,-6.0
1169,1.948333,10432.0,223.0,413.0,277.0,119.0,355.0,218.0,1364.0,1667.0,-31.0,4.0,-15.0,-1.0,-14.0,0.0,-14.0,-9.0
1170,1.95,10422.0,195.0,389.0,244.0,82.0,321.0,184.0,1323.0,1628.0,-69.0,-45.0,-61.0,-41.0,-60.0,-47.0,-54.0,-53.0
1171,1.951667,10436.0,213.0,412.0,262.0,103.0,334.0,202.0,1342.0,1636.0,-46.0,-12.0,-31.0,-21.0,-31.0,-16.0,-22.0,-20.0
1172,1.953333,10427.0,230.0,432.0,274.0,110.0,347.0,215.0,1346.0,1643.0,-31.0,1.0,-17.0,0.0,-23.0,-4.0,-10.0,-5.0
1173,1.955,10430.0,234.0,437.0,279.0,112.0,348.0,218.0,1346.0,1634.0,-32.0,5.0,-15.0,0.0,-15.0,-2.0,-14.0,-10.0
1174,1.956667,10436.0,236.0,452.0,278.0,110.0,348.0,215.0,1344.0,1633.0,-27.0,-2.0,-15.0,3.0,-14.0,-3.0,-7.0,-13.0
1175,1.958333,10419.0,205.0,423.0,248.0,73.0,308.0,179.0,1304.0,1592.0,-70.0,-38.0,-63.0,-43.0,-60.0,-47.0,-54.0,-53.0
1176,1.96,10414.0,223.0,443.0,263.0,91.0,330.0,199.0,1320.0,1602.0,-47.0,-13.0,-30.0,-13.0,-36.0,-16.0,-23.0,-21.0
1177,1.961667,10422.0,240.0,464.0,277.0,103.0,342.0,210.0,1328.0,1600.0,-43.0,-6.0,-14.0,-2.0,-15.0,1.0,-9.0,-7.0
1178,1.963333,10436.0,243.0,472.0,277.0,101.0,340.0,212.0,1324.0,1598.0,-48.0,-5.0,-7.0,3.0,-12.0,12.0,-2.0,-14.0
1179,1.965,10429.0,246.0,482.0,280.0,99.0,339.0,210.0,1320.0,1593.0,-48.0,-6.0,-12.0,3.0,-10.0,11.0,-6.0,-4.0
1180,1.966667,10440.0,218.0,452.0,248.0,64.0,302.0,173.0,1281.0,1551.0,-92.0,-53.0,-47.0,-42.0,-60.0,-31.0,-50.0,-56.0
1181,1.968333,10443.0,234.0,479.0,265.0,79.0,319.0,193.0,1296.0,1560.0,-70.0,-26.0,-22.0,-9.0,-23.0,-4.0,-17.0,-22.0
